age,weight,height,goal,straight bench press,decline bench press,dumbell flyes,front barbell press,side laterals,rear delt flyes,face pull,dumbell shrugs,deadlift,bent over barbell rows,T bar rows,front cable pull down,back cable pull down,barbell curls,hammer curls,ez bar curls,preacher curls,tricep dips,double hand overhead dumbell press,skullcrusher,squat,dumbell lunges,leg press,lying leg curl
34,77,5.2,0,4.6,3.15,4.12,3.12,4.12,3.12,3.15,3.15,3.12,3.12,3.15,3.12,4.12,4.12,3.15,3.12,4.12,4.6,4.12,3.12,4.6,3.12,3.15,4.6
24,68,5.4,0,4.8,5.6,4.12,4.8,3.15,5.6,5.6,4.12,4.8,4.8,3.15,4.12,4.8,5.6,4.12,5.6,3.15,4.8,5.6,4.8,5.6,4.12,4.12,4.12
39,92,5.12,0,4.8,4.12,3.15,4.12,3.15,5.6,4.8,4.8,4.12,5.6,4.8,4.12,5.6,5.6,3.15,4.8,3.15,4.12,5.6,4.8,5.6,4.12,4.8,5.6
37,61,5.12,1,4.8,5.6,3.15,5.6,3.15,4.12,4.12,4.8,4.8,3.15,5.6,3.15,4.8,4.12,4.8,4.12,4.12,3.15,4.8,3.15,4.8,3.15,4.12,4.8
22,90,5.4,0,3.15,4.6,3.12,4.12,3.15,4.6,3.12,3.15,4.6,3.12,4.12,4.12,4.6,4.12,4.6,3.15,4.6,4.6,3.12,3.15,3.15,4.12,4.6,4.6
38,57,5.4,1,4.6,3.12,4.6,3.12,4.6,4.12,3.15,3.15,3.12,3.15,3.15,3.12,3.12,4.6,4.12,4.12,4.6,3.15,3.15,3.12,3.15,3.12,3.12,3.12
40,51,4.12,1,4.12,4.6,4.6,4.12,3.12,4.6,3.12,4.12,3.12,4.6,4.6,4.12,4.12,4.12,4.6,3.12,4.12,3.12,3.12,4.6,4.12,4.12,3.12,3.15
24,66,4.11,0,4.6,3.12,4.12,3.12,3.15,4.12,3.12,3.12,3.12,4.12,3.12,3.12,4.6,3.12,4.12,3.12,3.15,3.12,4.12,3.12,3.15,3.12,3.12,3.15
25,51,5.6,1,5.6,4.12,4.8,4.8,3.15,4.8,4.8,4.12,4.8,4.12,4.12,5.6,5.6,5.6,4.12,3.15,4.8,5.6,4.12,5.6,5.6,5.6,4.12,3.15
24,77,5.6,0,4.12,3.15,5.6,4.8,5.6,5.6,4.12,5.6,4.12,4.8,4.12,4.8,5.6,4.12,5.6,3.15,4.12,4.12,5.6,5.6,5.6,4.8,4.12,4.12
23,52,5.1,1,3.12,4.6,4.12,4.12,4.12,4.6,4.6,3.15,3.12,3.15,3.15,4.6,4.6,3.15,3.15,4.12,3.12,3.15,4.6,4.6,3.15,4.6,3.15,4.6
34,100,5.1,0,3.12,3.12,3.15,4.12,3.12,4.12,3.15,4.12,4.6,3.15,4.12,3.15,3.15,4.12,4.6,4.12,4.12,4.6,3.15,3.15,3.15,3.15,4.12,4.6
38,71,4.8,0,5.6,4.12,3.15,4.8,5.6,4.12,3.15,4.12,3.15,5.6,5.6,3.15,3.15,4.8,4.12,4.12,3.15,4.12,3.15,5.6,4.12,3.15,3.15,4.8
32,65,5.8,1,4.6,4.6,3.15,3.15,3.15,4.6,4.12,4.6,3.12,3.12,3.15,4.6,4.6,3.15,4.6,4.6,4.12,4.6,3.15,4.6,4.6,4.6,4.6,4.12
32,99,4.12,0,3.12,4.12,4.12,4.6,3.12,3.15,4.12,4.6,4.12,3.12,4.12,3.15,4.6,4.12,4.12,4.6,3.15,4.6,4.6,4.12,3.12,3.15,4.6,4.12
20,90,5.7,0,3.15,4.6,3.12,3.12,4.6,4.6,4.6,4.6,4.12,3.12,4.6,4.12,3.15,4.6,4.12,4.12,3.12,4.12,4.6,3.12,4.6,4.12,3.15,4.6
19,89,4.9,0,4.12,4.12,4.6,4.6,3.15,4.12,3.15,3.12,3.15,4.12,3.12,4.6,4.6,3.12,3.15,3.12,3.15,4.12,4.12,4.12,3.15,4.6,4.6,4.6
34,73,4.11,0,4.6,3.15,4.12,4.12,4.12,3.15,4.12,4.6,3.15,4.6,4.12,4.6,3.15,4.12,3.15,4.6,4.12,4.6,4.6,4.6,3.12,4.6,3.15,4.12
18,77,5.3,0,3.12,4.6,3.12,4.6,4.12,4.12,3.12,4.12,3.15,3.15,4.6,3.12,3.12,4.6,3.12,3.15,3.15,3.15,3.12,4.12,3.12,3.12,3.12,3.15
27,56,4.9,1,4.12,3.15,3.12,3.12,3.12,4.6,3.12,4.12,3.15,4.12,3.12,3.15,3.12,3.15,3.12,4.6,4.12,3.15,4.12,4.6,4.6,3.15,3.15,3.15
39,94,5.4,0,4.12,4.12,4.12,3.15,4.12,4.12,4.6,3.12,3.12,3.12,3.15,3.15,3.15,3.12,3.12,3.15,4.6,4.6,4.6,4.12,3.15,3.15,4.12,3.12
35,76,5.8,0,3.12,4.12,3.12,3.12,3.15,3.12,4.6,4.6,3.15,4.12,3.15,3.12,4.6,3.12,3.12,4.6,4.12,3.15,4.12,4.6,4.12,3.12,3.12,4.6
23,88,5.7,0,4.12,4.6,4.6,4.12,3.12,4.6,3.12,3.15,4.12,3.12,4.6,4.12,3.12,4.12,4.12,3.12,4.6,3.12,3.12,4.6,4.12,4.12,4.6,3.15
32,76,4.9,0,3.15,3.15,3.15,4.6,4.12,3.15,4.12,4.12,4.12,3.15,3.15,3.12,4.6,4.12,3.15,4.12,4.6,3.15,4.12,4.6,4.12,3.12,3.12,3.15
30,56,5.5,1,4.6,4.12,4.6,4.12,3.15,3.15,3.12,3.12,3.15,4.6,4.6,4.12,3.12,4.6,3.15,3.15,3.15,3.12,3.15,4.12,3.12,4.12,3.12,4.12
